Name of Company,Name of Management,Relationship to Management,Types of Securities,Transaction Date,Amount,Average Price (baht),The methods of Acquisition/Disposition
2S,Mr. SANGRUNG NITIPAWACHON,Reporter,Common Share,16/05/2019,9500,2.14,Purchase
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,18/01/2018,60000,4.84,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,19/01/2018,30000,4.86,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,16/03/2018,25000,4.60,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,19/03/2018,25000,4.60,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,17/05/2018,200,3.64,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,18/05/2018,40300,3.60,Buy
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,21/05/2018,18200,3.60,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,22/05/2018,100000,3.60,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,23/05/2018,80000,3.62,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,08/06/2018,30000,3.52,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,11/06/2018,1500,3.52,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,12/06/2018,500,3.52,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,13/06/2018,1200,3.50,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,27/06/2018,60800,3.16,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,28/06/2018,35500,3.18,Sell
2S,BUNSRI PANYAPIAMSAK,Reporter,Common share,05/07/2018,100000,3.01,Sell
AJ,Mr. KITTIPHAT SUTHISAMPHAT,Reporter,Common Share,11/01/2021,3000000,18.40,Purchase
AJ,Mr. NARONG SUTHISAMPHAT,Spouse / Cohabiting Couple (Mrs. Sulemas Suthisamphat),Common Share,11/01/2021,3000000,18.40,Sale
AJ,KITTIPHAT SUTHISAMPHAT,Reporter,Common share,05/03/2018,5710000,14.48,Buy
AH,Miss Xin rhu Yeap,Reporter,NVDR : underlying securities ordinary SHARE,19/11/2018,20000,22.10,Purchase
AH,Miss Xin rhu Yeap,Reporter,NVDR : underlying securities ordinary SHARE,20/11/2018,5000,21.60,Purchase
AH,Miss Xin rhu Yeap,Reporter,NVDR : underlying securities ordinary SHARE,21/11/2018,20000,21.00,Purchase
AH,Miss XIN RHU YEAP,Reporter,NVDR : underlying securities ordinary SHARE,22/11/2018,100000,20.23,Purchase
AH,Miss XIN RHU YEAP,Reporter,NVDR : underlying securities ordinary SHARE,23/11/2018,1000,20.70,Purchase
AH,Miss XIN RHU YEAP,Reporter,NVDR : underlying securities ordinary SHARE,07/12/2018,7000,21.34,Purchase
AH,Miss XIN RHU YEAP,Reporter,NVDR : underlying securities ordinary SHARE,11/12/2018,14000,20.79,Purchase
AH,Miss XIN RHU YEAP,Reporter,NVDR : underlying securities ordinary SHARE,27/12/2018,23400,18.61,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,27/12/2018,2600,18.74,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,09/10/2019,20000,15.35,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,10/10/2019,20000,15.10,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,11/10/2019,80000,15.07,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,03/03/2020,20000,9.26,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,04/03/2020,25000,9.08,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,06/03/2020,30000,9.07,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,09/03/2020,25000,8.12,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,13/03/2020,53000,6.94,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,17/03/2020,80000,6.86,Purchase
AH,Miss XIN RHU YEAP,Reporter,Common Share,18/03/2020,20000,6.95,Purchase
AH,Mr. SATTA PET-IN,Reporter,Common Share,12/05/2021,50000,25.00,Purchase
AH,Mr. SATTA PET-IN,Reporter,Common Share,17/05/2021,50000,24.14,Purchase
AH,Mr. SATTA PET-IN,Reporter,Common Share,20/07/2021,50000,21.80,Sale
AH,Mr. WICHIAN MEKTRAKARN,Reporter,Common Share,10/03/2020,20000,8.00,Purchase
AH,Mrs. VACHIRA NA RANONG,Reporter,Common Share,06/03/2020,33000,9.07,Purchase
AH,Mrs. VACHIRA NA RANONG,Reporter,Common Share,20/11/2020,33000,16.82,Sale
AH,Mrs. VACHIRA NA RANONG,Reporter,Common Share,30/11/2020,10000,17.90,Purchase
AH,Mrs. VACHIRA NA RANONG,Reporter,Common Share,01/12/2020,20000,17.95,Purchase
AH,Mrs. VACHIRA NA RANONG,Reporter,Common Share,24/12/2020,5000,16.80,Purchase
ABICO,Mr. CHAICHAT BOONYARAT,Reporter,Common Share,17/08/2018,43100,6.35,Purchase
ABICO,Mr. CHAICHAT BOONYARAT,Reporter,Common Share,20/08/2018,424700,6.91,Purchase
ABICO,Mrs. CHINTANA BOONYARAT,Reporter,Common Share,19/11/2018,200000,4.65,Purchase
ABICO,Mrs. CHINTANA BOONYARAT,Reporter,Common Share,19/06/2020,3200000,4.81,Purchase
ABICO,CHAICHAT BOONYARAT,Reporter,Common share,23/02/2018,78200,7.75,Buy
ABICO,CHAICHAT BOONYARAT,Reporter,Common share,26/02/2018,91800,7.87,Buy
ABICO,CHAICHAT BOONYARAT,Reporter,Common share,27/02/2018,60000,7.88,Buy
ABICO,CHAICHAT BOONYARAT,Reporter,Common share,02/03/2018,69600,7.88,Buy
ABICO,CHAICHAT BOONYARAT,Reporter,Common share,05/03/2018,52500,7.90,Buy
ABICO,CHAICHAT BOONYARAT,Reporter,Common share,06/03/2018,91900,7.85,Buy
ABICO,CHAICHAT BOONYARAT,Reporter,Common share,15/08/2018,76800,6.12,Buy
ABICO,CHAICHAT BOONYARAT,Reporter,Common share,16/08/2018,136300,6.18,Buy
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,13/11/2019,58133000,4.84,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,18/11/2019,500000,4.28,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,25/11/2019,300000,4.36,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,26/11/2019,430300,4.34,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,27/11/2019,750000,4.33,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,28/11/2019,3500000,4.25,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,09/12/2019,6707100,4.03,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,24/12/2019,250000,4.06,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,24/01/2020,40000000,3.04,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,27/02/2020,141600,2.70,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,28/02/2020,3426100,2.70,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,02/03/2020,1308700,2.68,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,09/03/2020,3630400,2.69,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,12/03/2020,21300000000,2.62,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,12/03/2020,21300000,2.62,Purchase
ACE,Mr. PORNMETT SONGMETTA,Reporter,Common Share,12/03/2020,184900000,2.70,Sale
ACE,Mr. PRANAI SUWANRATH,Spouse / Cohabiting Couple (Mrs. Tipvipa Suwanrath),Common Share,13/11/2019,200000,4.66,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,25/12/2019,350000,4.09,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,26/12/2019,257800,4.08,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,27/12/2019,348300,4.10,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,24/01/2020,3000000,3.04,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,28/01/2020,1000000,2.92,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,26/02/2020,800000,2.88,Purchase
