Date,Adj Close
2021-09-16,30.0
2021-09-17,29.0
2021-09-20,28.0
2021-09-21,30.5
2021-09-22,29.25
2021-09-23,30.0
2021-09-27,29.25
2021-09-28,30.25
2021-09-29,33.0
2021-09-30,32.75
2021-10-01,34.0
2021-10-04,34.25
2021-10-05,35.0
2021-10-06,33.75
2021-10-07,33.0
2021-10-08,33.75
2021-10-11,33.5
2021-10-12,33.0
2021-10-14,32.5
2021-10-15,32.5
2021-10-18,34.5
2021-10-19,35.75
2021-10-20,36.25
2021-10-21,40.25
2021-10-25,38.75
2021-10-26,39.5
2021-10-27,43.25
2021-10-28,42.25
2021-10-29,43.0
2021-11-01,45.5
2021-11-02,39.75
2021-11-03,39.75
2021-11-04,41.5
2021-11-05,41.0
2021-11-08,44.0
2021-11-09,44.0
2021-11-10,44.25
2021-11-11,44.0
2021-11-12,47.5
2021-11-15,51.5
2021-11-16,51.5
2021-11-17,51.0
2021-11-18,50.75
2021-11-19,49.5
2021-11-22,49.5
2021-11-23,49.25
2021-11-24,49.0
2021-11-25,48.75
2021-11-26,51.25
2021-11-29,53.75
2021-11-30,54.25
2021-12-01,54.0
2021-12-02,54.0
2021-12-03,53.75
